,distrito,precio,zona
138,Alcalá de Henares,"12,0",alquiler-provincia
139,Alcobendas,"14,7",alquiler-provincia
140,Alcorcón,"13,0",alquiler-provincia
141,Aranjuez,"10,6",alquiler-provincia
142,Arganda,"11,4",alquiler-provincia
143,Boadilla del Monte,"12,3",alquiler-provincia
144,Collado Villalba,"12,0",alquiler-provincia
145,Colmenar Viejo,"11,0",alquiler-provincia
146,Coslada,"12,3",alquiler-provincia
147,El Escorial,"10,2",alquiler-provincia
148,Fuenlabrada,"11,4",alquiler-provincia
149,Galapagar,"11,3",alquiler-provincia
150,Getafe,"13,0",alquiler-provincia
151,La Moraleja,"18,2",alquiler-provincia
152,Las Rozas de Madrid,"13,9",alquiler-provincia
153,Leganés,"12,6",alquiler-provincia
154,Majadahonda,"14,7",alquiler-provincia
155,Móstoles,"12,3",alquiler-provincia
156,Paracuellos de Jarama,"10,5",alquiler-provincia
157,Parla,"11,3",alquiler-provincia
158,Pinto,"10,8",alquiler-provincia
159,Pozuelo de Alarcón,"15,0",alquiler-provincia
160,Rivas-Vaciamadrid,"11,2",alquiler-provincia
161,San Lorenzo de el Escorial,"11,0",alquiler-provincia
162,San Sebastián de los Reyes,"15,0",alquiler-provincia
163,Torrejón de Ardoz,"12,3",alquiler-provincia
164,Torrelodones,"13,2",alquiler-provincia
165,Tres Cantos,"12,7",alquiler-provincia
166,Valdemoro,"11,4",alquiler-provincia
167,Villanueva de la Cañada,"14,8",alquiler-provincia
168,Villanueva del Pardillo,"12,8",alquiler-provincia
169,Villaviciosa de Odón,"16,9",alquiler-provincia
